id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,status,price,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket
"1013-N-450-St-E,-Ogden,-UT-84404","1013 N 450 St E, Ogden, UT 84404",1013 N 450 St E,,Ogden,UT,84404,Weber,41.275879,-111.967926,Manufactured,2.0,2.0,1095.0,436.0,1977.0,Inactive,57000,2024-01-30T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-01-30T00:00:00.000Z,2024-05-08T00:00:00.000Z,100
"11337-S-Four-Sox-Cv-E,-Sandy,-UT-84092","11337 S Four Sox Cv E, Sandy, UT 84092",11337 S Four Sox Cv E,,Sandy,UT,84092,Salt Lake,40.54541,-111.844718,Single Family,3.0,3.0,2744.0,3920.0,2004.0,Inactive,639000,2024-02-03T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-02-03T00:00:00.000Z,2024-05-08T00:00:00.000Z,96
"1073-E-Sherwood-Dr,-Kaysville,-UT-84037","1073 E Sherwood Dr, Kaysville, UT 84037",1073 E Sherwood Dr,,Kaysville,UT,84037,Davis,41.055642,-111.914708,Single Family,4.0,2.0,3422.0,13068.0,1972.0,Inactive,675000,2024-02-03T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-02-04T00:00:00.000Z,2024-05-08T00:00:00.000Z,96
"4053-S-Vernon-Cir-E,-Unit-D,-Salt-Lake-City,-UT-84124","4053 S Vernon Cir E, Unit D, Salt Lake City, UT 84124",4053 S Vernon Cir E,Unit D,Salt Lake City,UT,84124,Salt Lake,40.683693,-111.845422,Condo,2.0,1.0,884.0,436.0,1976.0,Inactive,305000,2024-02-10T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-02-11T00:00:00.000Z,2024-05-08T00:00:00.000Z,89
"82-W-200-N,-Price,-UT-84501","82 W 200 N, Price, UT 84501",82 W 200 N,,Price,UT,84501,Carbon,39.602708,-110.812877,Single Family,6.0,1.0,2812.0,6098.0,1902.0,Inactive,300000,2024-02-12T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-02-13T00:00:00.000Z,2024-05-08T00:00:00.000Z,87
"780-W-1125-N,-Unit-119,-Cedar-City,-UT-84721","780 W 1125 N, Unit 119, Cedar City, UT 84721",780 W 1125 N,Unit 119,Cedar City,UT,84721,Iron,37.697056,-113.073586,Manufactured,2.0,2.0,840.0,871.0,2024.0,Inactive,109000,2024-02-13T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-02-14T00:00:00.000Z,2024-05-08T00:00:00.000Z,86
"1724-E-Pioneer-Rd,-Draper,-UT-84020","1724 E Pioneer Rd, Draper, UT 84020",1724 E Pioneer Rd,,Draper,UT,84020,Salt Lake,40.52571,-111.842322,Single Family,6.0,3.5,5735.0,22216.0,2007.0,Inactive,1050000,2024-02-14T00:00:00.000Z,2024-05-09T00:00:00.000Z,2023-06-15T00:00:00.000Z,2024-05-08T00:00:00.000Z,85
"264-W-Ridge-St,-Brian-Head,-UT-84719","264 W Ridge St, Brian Head, UT 84719",264 W Ridge St,,Brian Head,UT,84719,Iron,37.697975,-112.850014,Single Family,5.0,4.0,3636.0,43560.0,1999.0,Inactive,1500000,2024-02-15T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-02-16T00:00:00.000Z,2024-05-08T00:00:00.000Z,84
"10471-S-Silver-Mountain-Dr,-Sandy,-UT-84094","10471 S Silver Mountain Dr, Sandy, UT 84094",10471 S Silver Mountain Dr,,Sandy,UT,84094,Salt Lake,40.560881,-111.86949,Single Family,4.0,1.0,1800.0,7841.0,1976.0,Inactive,550000,2024-02-16T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-02-16T00:00:00.000Z,2024-05-08T00:00:00.000Z,83
"3526-W-4150-S,-West-Haven,-UT-84401","3526 W 4150 S, West Haven, UT 84401",3526 W 4150 S,,West Haven,UT,84401,Weber,41.188302,-112.065235,Single Family,3.0,2.5,3105.0,3920.0,2022.0,Inactive,550000,2024-02-25T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-02-26T00:00:00.000Z,2024-05-08T00:00:00.000Z,74
"967-W-880-S,-Tooele,-UT-84074","967 W 880 S, Tooele, UT 84074",967 W 880 S,,Tooele,UT,84074,Tooele,40.514676,-112.322978,Single Family,5.0,2.0,2600.0,9583.0,2000.0,Inactive,399900,2024-02-28T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-02-29T00:00:00.000Z,2024-05-08T00:00:00.000Z,71
"1404-Hailstone-Dr,-Heber-City,-UT-84032","1404 Hailstone Dr, Heber City, UT 84032",1404 Hailstone Dr,,Heber City,UT,84032,Wasatch,40.629771,-111.436646,Townhouse,4.0,2.0,3507.0,3049.0,2010.0,Inactive,2400000,2024-03-04T00:00:00.000Z,2024-05-09T00:00:00.000Z,2022-03-24T10:01:07.921Z,2024-05-08T00:00:00.000Z,66
"80-E-North-Towne-Ln,-North-Salt-Lake,-UT-84054","80 E North Towne Ln, North Salt Lake, UT 84054",80 E North Towne Ln,,North Salt Lake,UT,84054,Davis,40.843573,-111.909685,Townhouse,2.0,1.5,1692.0,871.0,2015.0,Inactive,449000,2024-03-07T00:00:00.000Z,2024-05-09T00:00:00.000Z,2022-07-15T09:03:15.477Z,2024-05-08T00:00:00.000Z,63
"6723-W-Woodleaf-Ct-N,-Highland,-UT-84003","6723 W Woodleaf Ct N, Highland, UT 84003",6723 W Woodleaf Ct N,,Highland,UT,84003,Utah,40.444031,-111.819361,Single Family,7.0,6.5,5877.0,30928.0,2016.0,Inactive,2150000,2024-03-08T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-03-09T00:00:00.000Z,2024-05-08T00:00:00.000Z,62
"4693-S-1100-E,-Ogden,-UT-84403","4693 S 1100 E, Ogden, UT 84403",4693 S 1100 E,,Ogden,UT,84403,Weber,41.177739,-111.952682,Single Family,5.0,3.0,2801.0,11761.0,1995.0,Inactive,640000,2024-03-08T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-03-09T00:00:00.000Z,2024-05-08T00:00:00.000Z,62
"1059-E-Kensington-Ave,-Salt-Lake-City,-UT-84105","1059 E Kensington Ave, Salt Lake City, UT 84105",1059 E Kensington Ave,,Salt Lake City,UT,84105,Salt Lake,40.736595,-111.860576,Single Family,4.0,2.0,2401.0,5663.0,1923.0,Inactive,825000,2024-03-08T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-03-09T00:00:00.000Z,2024-05-08T00:00:00.000Z,62
"2011-S-2100-E,-Apt-14,-Salt-Lake-City,-UT-84108","2011 S 2100 E, Apt 14, Salt Lake City, UT 84108",2011 S 2100 E,Apt 14,Salt Lake City,UT,84108,Salt Lake,40.726408,-111.830054,Condo,2.0,2.0,1083.0,436.0,2008.0,Inactive,412900,2024-03-12T00:00:00.000Z,2024-05-09T00:00:00.000Z,2021-01-15T10:06:18.467Z,2024-05-08T00:00:00.000Z,58
"1752-W-Valcrest-Dr,-Saratoga-Springs,-UT-84045","1752 W Valcrest Dr, Saratoga Springs, UT 84045",1752 W Valcrest Dr,,Saratoga Springs,UT,84045,Utah,40.366027,-111.957987,Single Family,4.0,2.5,3574.0,3920.0,2020.0,Inactive,589500,2024-03-12T00:00:00.000Z,2024-05-09T00:00:00.000Z,2023-07-03T00:00:00.000Z,2024-05-08T00:00:00.000Z,58
